,geneID,geneName,gamma,n_reads,n_reads_phasable,n_snvs,alpha_hat,alpha_hat_low,alpha_hat_high,major_hap,ll_alt,ll_null,lrt_stat,p_value,chi2_isoform,df_isoform,p_value_isoform,p_value_isoform_low,p_value_isoform_high,CellType,p_value_gene_adj,p_value_isoform_adj,p_value_isoform_adj_high,p_value_isoform_adj_low
20,ENSG00000100347,SAMM50,0.4359823399558499,233,170,2,0.4915871173760263,0.3586687122486027,0.6290549783430235,A,-318.00345339153205,-318.0270687127436,0.0472306424230737,0.827954202707319,2.99407760619251,3,0.3925391945037111,0.3925391945037111,0.6191852484383265,Monocytes,0.9199491141192433,0.5586445634966128,0.9959651534761912,0.5586445634966128
21,ENSG00000100347,SAMM50,0.4359823399558499,40,27,2,0.4513093383623513,0.3046338033945872,0.6296338033945872,A,-67.59771276714788,-67.72143165154166,0.247437768787563,0.6188850295955459,2.3156937744175066,2,0.3141618791548004,0.0345539837688724,0.5160437743308233,NK cells,0.7736062869944323,0.8045044443626505,0.9989644657424586,0.0691079675377448
22,ENSG00000100347,SAMM50,0.4359823399558499,53,30,2,0.3283513284030472,0.1858592424922909,0.6198215066432343,A,-56.11948276787759,-57.89486678223049,3.550768028705789,0.0595178955878342,4.325110183382874,2,0.1150308309087223,0.0047100611758754,0.177668275933295,"T cells, CD4+",0.1308465105007944,0.2300616618174446,0.4505036908762192,0.007850101959792334
23,ENSG00000100347,SAMM50,0.4359823399558499,14,7,2,0.2857728080856917,0.1428864040428458,0.6428864040428458,A,-12.636034363112657,-13.298971718742356,1.3258747112594025,0.2495404389719099,2.616194594002287,3,0.4546574963660791,0.230816883848399,0.7776937881261875,"T cells, CD8+",0.6172372126107688,0.8066679695307437,1.0,0.3158590151353461
24,ENSG00000198832,SELENOM,0.1453488372093023,40,35,2,0.1714409555345014,0.1500108360926887,0.2750108360926887,B,-65.48924841203413,-73.71225336724879,16.446009910429325,5.005542599275468e-05,34.99350631646895,5,1.5091471490258357e-06,1.2251932587359349e-06,1.5091471490258357e-06,B cells,0.0005005542599275468,1.5091471490258357e-05,1.5091471490258357e-05,4.0839775291197835e-06
25,ENSG00000198832,SELENOM,0.1453488372093023,258,231,2,0.2268014537349958,0.2030664178790079,0.3077175806697056,B,-439.4194259036189,-475.0564978904664,71.27414397369512,3.1088323129539177e-17,133.0161434140089,5,0.0,0.0,0.0,Bulk,1.5544161564769587e-16,0.0,0.0,0.0
26,ENSG00000198832,SELENOM,0.1453488372093023,77,69,2,0.251783461896261,0.2256241411797664,0.3295202450758703,B,-130.64939204442612,-139.29438610937024,17.28998812988823,3.208730375355644e-05,37.084943768835785,4,1.7301600330199562e-07,1.7301600330199562e-07,2.137214558661782e-07,Monocytes,0.0003208730375355644,1.3013279187568119e-06,2.137214558661782e-06,4.3254000825498906e-07
27,ENSG00000198832,SELENOM,0.1453488372093023,14,14,2,0.3317520379585136,0.3317520379585136,0.3317520379585136,B,-27.16953933187652,-27.91376502678386,1.4884513898146778,0.2224568909788198,5.221170973831946,4,0.2653473536054165,0.2653473536054165,0.2653473536054165,NK cells,0.46812240728234517,0.8045044443626505,0.9989644657424586,0.44224558934236086
28,ENSG00000198832,SELENOM,0.1453488372093023,71,66,2,0.2077508857287509,0.1931205416633459,0.2635430768746136,B,-122.44936894254695,-134.31233978391774,23.725941682741563,1.110751925113536e-06,39.67466491013556,5,1.7368100624359786e-07,1.7368100624359786e-07,2.295932934881506e-07,"T cells, CD4+",1.110751925113536e-05,1.7368100624359786e-06,2.295932934881506e-06,8.684050312179893e-07
29,ENSG00000198832,SELENOM,0.1453488372093023,47,41,2,0.241901406159386,0.2110203755858473,0.3386799500539325,B,-81.61825611667811,-87.27862766954378,11.32074310573134,0.0007664603418493,28.443965042393103,6,7.749152193059494e-05,7.367280876358073e-06,7.749152193059494e-05,"T cells, CD8+",0.007664603418493,0.0007749152193059494,0.0007749152193059494,3.6836404381790366e-05
30,ENSG00000198089,SFI1,0.9591424968474148,259,78,13,0.4667901145225739,0.1405777178871071,0.839419416728806,A,-172.1288781461796,-172.27983744064431,0.3019185889294249,0.5826821304096156,5.889547716518582,4,0.2075501609018326,2.2176082242753026e-06,0.2075501609018326,B cells,0.6910086142576133,0.2965002298597609,0.6918338696727754,5.5440205606882564e-06
31,ENSG00000198089,SFI1,0.9591424968474148,1220,402,13,0.4432583369368025,0.1460572552857333,0.8165490585644218,A,-873.7474558844801,-888.1200316414188,28.74515151387732,8.255634394866569e-08,20.48155935821334,6,0.0022723348821169,0.0,0.8668685067571158,Bulk,2.75187813162219e-07,0.0056808372052922496,0.9999270025451948,0.0
32,ENSG00000198089,SFI1,0.9591424968474148,274,91,13,0.4033311264804452,0.133953038356644,0.8018362500354763,A,-165.95251810868402,-167.58450614174487,3.2639760661217,0.0708172204461641,5.6873410642886295,4,0.2237462337548434,8.096253723000046e-08,0.9099695841784722,Monocytes,0.1416344408923282,0.4474924675096868,0.9959651534761912,2.698751241000016e-07
33,ENSG00000198089,SFI1,0.9591424968474148,121,47,13,0.4019648966123094,0.1561351251304011,0.7677053730642855,A,-90.1114866684367,-90.9651211603797,1.7072689838859958,0.1913400896096778,3.508339420591713,5,0.6221261445990185,0.0084741151175655,0.9338947632635484,NK cells,0.46812240728234517,0.8045044443626505,0.9989644657424586,0.028247050391885
34,ENSG00000198089,SFI1,0.9591424968474148,242,79,13,0.430759289770156,0.1406197681481088,0.8141734871563733,A,-188.1624525869333,-188.8380007421926,1.3510963105185283,0.2450865497501316,12.59521055451589,7,0.0826070769396722,4.076500894623081e-07,0.3954961179157537,"T cells, CD4+",0.38137110630198745,0.22556846676872572,0.6591601965262561,1.358833631541027e-06
35,ENSG00000198089,SFI1,0.9591424968474148,136,43,13,0.4337065486382893,0.1371278058194591,0.8209513352312239,B,-112.67946914838676,-113.00326313274942,0.6475879687253041,0.4209763659179401,8.535829878130253,4,0.0738085794046381,0.0005278767104603,0.1727103066346382,"T cells, CD8+",0.7016272765299002,0.3690428970231905,0.863551533173191,0.0017595890348676667
36,ENSG00000099940,SNAP29,0.8747685185185186,70,40,5,0.4876813712813116,0.2786750693036066,0.7072464978750351,B,-64.79096580755588,-64.80258871182023,0.0232458085287134,0.8788195928005964,0.1054517934681043,1,0.7453828394444242,0.0211303540255625,0.9586379258076348,B cells,0.8788195928005964,0.828203154938249,0.998667408214722,0.03521725670927084
37,ENSG00000099940,SNAP29,0.8747685185185186,864,506,5,0.4935327989545155,0.2890365697580843,0.7033884216099362,B,-773.5309325644973,-773.570837738751,0.0798103485074079,0.7775545852112351,3.619553321056936,1,0.0571042031307494,0.0571042031307494,0.2967085475225551,Bulk,0.7775545852112351,0.09517367188458233,0.9018242074968149,0.08157743304392771
38,ENSG00000099940,SNAP29,0.8747685185185186,629,369,5,0.4835301000235685,0.2836607423031745,0.6970152733047643,B,-561.7304817720003,-561.9197086173876,0.3784536907746769,0.538431958803449,0.5021396163872718,1,0.4785614989790492,0.4785614989790492,0.7654318572852786,Monocytes,0.7697383887516424,0.5586445634966128,0.9959651534761912,0.5586445634966128
39,ENSG00000099940,SNAP29,0.8747685185185186,34,19,5,0.3657721803589941,0.2044021007888498,0.645578571377085,A,-27.005110019123453,-27.67258387147531,1.3349477047037157,0.2479269197046892,0.5357698759477398,1,0.4641911337137293,0.4641911337137293,0.8293123870561361,NK cells,0.46812240728234517,0.8045044443626505,0.9989644657424586,0.5771682087345896
40,ENSG00000099940,SNAP29,0.8747685185185186,45,24,5,0.3850127334921961,0.2053401245291712,0.6720067911958381,A,-36.81666542767125,-37.412298548869686,1.191266242396864,0.2750742889347079,5.120347724091944,4,0.2751704704783263,0.2751704704783263,0.2834715076862628,"T cells, CD4+",0.38137110630198745,0.39310067211189476,0.5669430153725256,0.30574496719814037
41,ENSG00000099940,SNAP29,0.8747685185185186,15,8,5,0.4864562001989628,0.2594433067727802,0.7261099734394469,A,-11.28801325089382,-11.29081249563967,0.0055984894917031,0.9403554983562836,0.6404072980757771,2,0.7260011725776694,0.2465163368271115,0.9564705344283772,"T cells, CD8+",0.962511953598502,0.8066679695307437,1.0,0.3158590151353461
42,ENSG00000100207,TCF20,0.9700714711137582,382,80,8,0.432541856668628,0.0905846820248436,0.88116059825521,A,-127.21753080952492,-127.87640575857314,1.3177498980964517,0.2509962731859754,12.53281609505763,6,0.0510847627236139,0.0510847627236139,0.9722459773685772,B cells,0.4486327462755105,0.1021695254472278,0.998667408214722,0.06385595340451737
43,ENSG00000100207,TCF20,0.9700714711137582,1679,332,8,0.4782803836204445,0.094573607720064,0.8968368596557401,B,-530.8045813290942,-531.0882603442267,0.5673580302650407,0.4513106788262022,7.567558570358143,4,0.1087668796771214,0.1087668796771214,0.699776413041671,Bulk,0.5641383485327527,0.1518538956234201,0.9999270025451948,0.13498124055415123
44,ENSG00000100207,TCF20,0.9700714711137582,723,132,8,0.4008322247335872,0.0731809870882897,0.8906083729804061,B,-205.5518401566869,-207.9471804185505,4.790680523727133,0.0286141192349315,7.042126324562993,3,0.0705671153844292,0.0705671153844292,0.1209566344519117,Monocytes,0.07153529808732875,0.17641778846107298,0.40318878150637233,0.11761185897404866
45,ENSG00000100207,TCF20,0.9700714711137582,109,24,8,0.3998425680833083,0.0880387305871505,0.8678552443486183,A,-38.4953083684029,-38.92821346319695,0.865810189588089,0.3521178427395381,3.279132684243454,5,0.6570379419604272,0.4395610797986442,0.6570379419604272,NK cells,0.5030254896279116,0.8045044443626505,0.9989644657424586,0.5771682087345896
46,ENSG00000100207,TCF20,0.9700714711137582,210,35,8,0.2741847200153599,0.0456974533358933,0.8790307866692265,B,-50.989641672685735,-54.266944612637765,6.554605879904059,0.0104613007897126,4.692040792731235,5,0.4546070630928123,6.793258339632402e-06,0.9547413747057424,"T cells, CD4+",0.03487100263237534,0.5682588288660153,0.9547413747057424,1.6983145849081005e-05
47,ENSG00000100207,TCF20,0.9700714711137582,87,19,8,0.3090833238135609,0.0675009557753754,0.8491101511776742,A,-29.532516881306915,-30.83748214590002,2.609930529186208,0.1061964144852672,3.2673944289132133,5,0.6588371580703257,0.0015596518534175,0.9168627842006865,"T cells, CD8+",0.530982072426336,0.8066679695307437,1.0,0.00389912963354375
48,ENSG00000128294,TPST2,0.948134224450014,81,37,9,0.4583737089599,0.2093805831051395,0.7525904596483495,A,-64.37243810226528,-64.49403576160489,0.243195318679227,0.621907752831852,6.377153189360679,5,0.2712300167147343,0.2712300167147343,0.3400743790280163,B cells,0.6910086142576133,0.3390375208934178,0.8501859475700407,0.2712300167147343
